ID,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
1,487,TRANSFER,321307.31,C509024717,321307.31,0,C136074678,0,0,1
2,160,TRANSFER,10000000,C752627210,27670038.08,17670038.08,C1853789265,0,0,1
3,40,CASH_OUT,94684.22,C999271610,0,0,C269348569,100443.55,195127.77,0
4,139,CASH_OUT,61572.27,C2098314951,416524,354951.73,C1093723175,126019.53,187591.8,0
5,526,TRANSFER,682901.78,C50452950,0,0,C2102114319,748928.26,1431830.04,0
6,187,TRANSFER,142740.15,C1405714095,0,0,C1378055562,246634.6,389374.75,0
7,398,TRANSFER,4309298.47,C668700925,4309298.47,0,C1360905880,0,0,1
8,306,CASH_IN,147790.37,C128950954,499682,647472.37,C1911802090,3564911.28,3417120.91,0
9,204,CASH_OUT,170956.09,C1917381506,0,0,C538563383,1038699.65,1209655.74,0
10,163,CASH_OUT,28810.69,C204552268,49544,20733.31,C406232323,73381.08,102191.77,0
11,16,PAYMENT,4216.35,C1103975795,53682,49465.65,M1209270509,0,0,0
12,234,CASH_IN,166648.51,C1925263544,1351849.21,1518497.72,C2114853918,3714375.68,3547727.17,0
13,297,CASH_IN,33019.25,C852870273,4341373.19,4374392.44,C444671308,1816628.43,1783609.18,0
14,201,CASH_IN,56952.14,C1122214136,7367752.43,7424704.56,C350840573,137713.99,80761.85,0
15,19,TRANSFER,292984.45,C1314013522,46952,0,C672285686,10086.36,303070.81,0
16,35,CASH_IN,94661.44,C1791951941,6436765.27,6531426.71,C317609312,3946270.78,3943081.64,0
17,202,CASH_OUT,570329.71,C598092892,37564,0,C1382182758,6053.61,576383.32,0
18,17,CASH_IN,27339.19,C725211983,10680,38019.19,C1587449968,45182.7,17843.51,0
19,139,CASH_IN,195646.87,C1840000476,0,195646.87,C1869954068,39940.03,0,0
20,33,TRANSFER,10000000,C1439740840,19887819.06,9887819.06,C875288652,0,0,1
21,404,CASH_IN,92758.27,C1975938393,9225369.78,9318128.05,C2069613236,1443381.93,1350623.66,0
22,12,TRANSFER,2066467.64,C1223631235,2066467.64,0,C1281019843,0,81209.81,1
23,280,CASH_OUT,64061.41,C886549238,0,0,C1422845752,1798868.02,1862929.43,0
24,157,TRANSFER,1397162.15,C717731676,1397162.15,0,C572895729,0,0,1
25,379,TRANSFER,190490.05,C1578784704,34216,0,C1786623268,71194.6,261684.64,0
26,362,CASH_OUT,1891921.94,C34007989,1891921.94,0,C1902245575,66224.04,1958145.98,1
27,83,TRANSFER,1534926.96,C358852719,1534926.96,0,C361327171,0,0,1
28,231,TRANSFER,261331.82,C829550304,261331.82,0,C1922723403,0,0,1
29,718,CASH_OUT,1293595.52,C1545616572,1293595.52,0,C1503189539,0,1293595.52,1
30,213,CASH_OUT,197803.19,C520025915,0,0,C986267724,1796739.55,1994542.74,0
31,330,CASH_IN,300735.61,C477453791,5177072.17,5477807.79,C173141569,8506263.62,8205528.01,0
32,284,CASH_OUT,201777.86,C1596642002,0,0,C1014687065,582032.36,783810.22,0
33,209,CASH_IN,133128.82,C171810776,5220,138348.82,C1598171550,523504.52,390375.7,0
34,667,TRANSFER,429257.45,C684872435,429257.45,0,C227709254,0,0,1
35,60,TRANSFER,581421.85,C1021314422,581421.85,0,C2062695733,0,0,1
36,189,CASH_OUT,521570.81,C1872049852,0,0,C1834939886,863278.99,1384849.79,0
37,715,CASH_OUT,212028.15,C1792802617,212028.15,0,C350073748,3708381.73,3920409.88,1
38,322,CASH_OUT,79508.55,C2068582142,0,0,C1280551652,2059612.72,2139121.27,0
39,554,CASH_OUT,353785.26,C1270362988,353785.26,0,C471561337,0,353785.26,1
40,325,CASH_IN,64680.04,C1858606987,10433345.66,10498025.69,C912070898,100992.74,36312.71,0
41,399,CASH_OUT,150700.86,C1069142280,0,0,C1790806251,234706.41,385407.27,0
42,331,PAYMENT,7065.44,C1956588521,73849,66783.56,M1746572911,0,0,0
43,15,CASH_IN,378580.94,C2059606781,9423621.81,9802202.75,C343106567,391372.22,12791.28,0
44,103,TRANSFER,137508.01,C2062277295,137508.01,0,C1254777952,0,0,1
45,161,CASH_IN,13203.66,C1653613269,294,13497.66,C2027497664,3201405.98,3081791.72,0
46,296,TRANSFER,716273.17,C178061397,716273.17,0,C1590888168,0,0,1
47,160,CASH_OUT,32872,C1732777090,32872,0,C366537960,0,32872,1
48,565,TRANSFER,112958.85,C527712265,112958.85,0,C1783916245,0,0,1
49,89,TRANSFER,43928.31,C1832804428,43928.31,0,C1373339236,0,0,1
50,105,CASH_OUT,539087.79,C1597812887,539087.79,0,C1452774204,44825.34,583913.14,1
51,17,CASH_IN,182424.11,C2074387633,51594,234018.11,C811465599,0,0,0
52,474,PAYMENT,5210.94,C924962064,0,0,M464269720,0,0,0
53,684,CASH_OUT,459.38,C24326875,459.38,0,C1071787427,277498.02,277957.4,1
54,303,CASH_OUT,48164.79,C589911273,0,0,C2038903105,642854.61,691019.41,0
55,6,CASH_OUT,17246,C1484518113,17246,0,C978609035,0,17246,1
56,324,CASH_OUT,20453.02,C458089384,0,0,C1142443872,22067862.51,22088315.52,0
57,258,TRANSFER,29280.46,C236282948,29280.46,0,C489338831,0,0,1
58,677,TRANSFER,9295454.24,C1216463302,9295454.24,0,C1920599052,0,0,1
59,42,PAYMENT,6193.63,C1092337114,0,0,M696663137,0,0,0
60,13,TRANSFER,123194.95,C2143112877,79466.45,0,C1755380031,535933.16,263908.84,1
61,216,PAYMENT,9860.7,C599909400,27077.48,17216.77,M268925062,0,0,0
62,19,CASH_OUT,161939.36,C1993475473,161939.36,0,C1832323051,628935.02,851972.34,1
63,595,PAYMENT,10493.43,C1712155249,359755.51,349262.08,M108341305,0,0,0
64,406,PAYMENT,1193.85,C349920378,52186,50992.15,M539874016,0,0,0
65,717,CASH_OUT,6512846.44,C1850890702,6512846.44,0,C944966910,132217.8,6645064.24,1
66,136,PAYMENT,525.4,C1773368080,99320,98794.6,M1883825864,0,0,0
67,322,CASH_OUT,2274766.1,C2063172145,2274766.1,0,C835515236,0,2274766.1,1
68,163,CASH_OUT,73252.09,C748211593,23348,0,C368801716,1188296.89,1261548.97,0
69,680,CASH_OUT,2651994.1,C1963804586,2651994.1,0,C621396903,0,2651994.1,1
70,247,CASH_OUT,76646.05,C1873858924,76646.05,0,C587506100,0,76646.05,1
71,215,PAYMENT,19447.65,C1440283087,0,0,M573225409,0,0,0
72,323,CASH_IN,66450.51,C91426603,125334,191784.51,C1167813715,13330843.49,13264392.99,0
73,18,TRANSFER,9131,C1592623877,9131,0,C87183368,0,0,1
74,22,CASH_OUT,89571.46,C1022920965,4505.6,0,C1460548505,1929428.01,2018999.47,1
75,181,CASH_OUT,304320.1,C2146582095,108,0,C1272143276,2297932.47,2602252.57,0
76,249,CASH_IN,207049.49,C1734559465,2623160.39,2830209.88,C2106318513,1745025.16,1537975.67,0
77,330,PAYMENT,11588.57,C7494567,13095,1506.43,M539918230,0,0,0
78,136,CASH_OUT,199878.85,C1574654843,199878.85,0,C1877061834,403269.69,603148.54,1
79,570,CASH_OUT,2925859.58,C1546564200,2925859.58,0,C1313698236,148038.26,3073897.84,1
80,712,TRANSFER,344886.44,C333316191,344886.44,0,C320679459,0,0,1
81,212,CASH_OUT,67322.4,C831730067,12810,0,C1474439558,1562422.43,1629744.83,0
82,129,CASH_IN,201144.59,C453427435,4721472.07,4922616.66,C1004189530,369695.38,394348.14,0
83,234,CASH_IN,155025.42,C1540789218,14658,169683.42,C2139386430,0,0,0
84,510,CASH_OUT,550231.35,C1985542113,550231.35,0,C121844862,919044.92,1469276.27,1
85,237,PAYMENT,1383.8,C1089806922,103834,102450.2,M142035157,0,0,0
86,82,TRANSFER,1534985.07,C1000937208,1534985.07,0,C1880907151,0,0,1
87,209,CASH_OUT,45506.54,C189551439,0,0,C1280769627,198115.86,243622.4,0
88,104,CASH_OUT,306833.41,C1665711617,306833.41,0,C659116830,0,306833.41,1
89,399,CASH_OUT,184548.66,C1263314383,8601,0,C905599171,164893.18,349441.83,0
90,186,TRANSFER,8142605.46,C1210414819,8142605.46,0,C118885392,0,0,1
91,403,TRANSFER,779411,C1038543642,0,0,C987605459,2538129.67,3317540.68,0
92,43,PAYMENT,9439.07,C645932820,0,0,M625121603,0,0,0
93,250,CASH_OUT,213463.32,C1263272342,213463.32,0,C744918576,0,115035.59,1
94,399,CASH_OUT,106484.79,C750196558,81911.09,0,C709168489,198189.68,304674.46,0
95,157,TRANSFER,697147.37,C108077215,0,0,C295937637,3884662.52,4581809.89,0
96,140,CASH_OUT,104759.58,C537976229,22219,0,C719831443,1246947.21,1351706.79,0
97,551,PAYMENT,4622.1,C1501681166,236182.26,231560.17,M1800878568,0,0,0
98,235,CASH_IN,120893.15,C952239882,616,121509.15,C1301094019,60791.88,0,0
99,37,CASH_OUT,503793.25,C1260832016,503793.25,0,C930580526,10096055.39,10599848.64,1
100,128,TRANSFER,4483868.79,C1664723459,4483868.79,0,C366674827,0,0,1
101,68,TRANSFER,3512572.72,C1585059557,3512572.72,0,C1250942546,0,0,1
102,447,CASH_OUT,3339489.46,C1897864068,3339489.46,0,C1441419882,369291.01,3708780.47,1
103,213,PAYMENT,11587.61,C20823826,76133.57,64545.96,M257773473,0,0,0
104,595,CASH_OUT,816452.19,C228196194,816452.19,0,C253339392,1218091,2034543.19,1
105,20,PAYMENT,5221.32,C2100880878,0,0,M905985598,0,0,0
106,398,CASH_OUT,5618179.9,C770353571,5618179.9,0,C1829458210,0,5618179.9,1
107,341,TRANSFER,3011102.29,C1419528476,3011102.29,0,C273422649,0,0,1
108,145,TRANSFER,1767886.02,C1544286887,1767886.02,0,C436837170,0,0,1
109,307,PAYMENT,2495.08,C637382236,4131,1635.92,M487172478,0,0,0
110,394,CASH_IN,499873.41,C1061080518,89891.26,589764.67,C776167241,1203621.91,703748.5,0
111,187,CASH_OUT,27006.24,C1744158916,10087,0,C795603411,273989.66,300995.91,0
112,162,CASH_OUT,71958.85,C1642343208,0,0,C1245710025,207792.3,279751.15,0
113,353,TRANSFER,949999.4,C174376620,52320,0,C85870394,0,949999.4,0
114,129,TRANSFER,1864022.05,C1076727002,1864022.05,0,C192399554,0,149522.78,1
115,131,CASH_OUT,215569.97,C1264914417,10080,0,C263110203,0,215569.97,0
116,121,CASH_OUT,174296.71,C812613458,174296.71,0,C570182217,234032.55,408329.26,1
117,12,PAYMENT,8240.59,C1393804898,84373.49,76132.9,M1570788738,0,0,0
118,162,PAYMENT,21418.8,C566210196,444,0,M54195687,0,0,0
119,40,CASH_OUT,192463.64,C1431524766,112290,0,C75349586,339879.72,532343.36,0
120,332,CASH_OUT,225603.24,C465759451,29561,0,C1379745663,106141.92,331745.16,0
121,276,CASH_IN,39259.62,C53884668,18638806.46,18678066.08,C1134894336,5382428.55,5343168.93,0
122,10,CASH_OUT,439014.17,C1853486909,0,0,C1538125111,1440873.72,1879887.89,0
123,222,CASH_OUT,1338487.47,C1574469081,1338487.47,0,C528477947,0,1338487.47,1
124,249,CASH_IN,182134.07,C1386754326,48749,230883.07,C1012401292,1264937.34,1082803.27,0
125,332,PAYMENT,5769.77,C1493613918,0,0,M513863074,0,0,0
126,325,CASH_IN,6625.42,C688737363,10426720.24,10433345.66,C883927329,174809.56,168184.15,0
127,202,PAYMENT,3447.54,C428456252,107906.07,104458.54,M475800154,0,0,0
128,41,PAYMENT,1120.34,C1965284534,6009,4888.66,M8418964,0,0,0
129,251,CASH_OUT,142833.35,C1917000025,152834,10000.65,C214528955,22477764.96,22620598.31,0
130,10,CASH_OUT,9217.19,C1105700111,9217.19,0,C1767952032,0,9217.19,1
131,136,CASH_OUT,95267.81,C1426688213,95267.81,0,C1274877827,0,95267.81,1
132,278,CASH_OUT,87152.61,C1677523476,6653,0,C2018422877,215215.76,302368.37,0
133,204,TRANSFER,79938.47,C421862868,79938.47,0,C1976548052,0,0,1
134,324,PAYMENT,9817.09,C1530438050,0,0,M109317375,0,0,0
135,279,PAYMENT,1600.45,C1149208629,0,0,M1715599840,0,0,0
136,372,CASH_OUT,2923356.25,C1763502384,2923356.25,0,C2027686342,245463.38,3168819.64,1
137,38,PAYMENT,577.67,C1484706955,29747.99,29170.32,M1020117010,0,0,0
138,153,PAYMENT,11689.2,C420507910,0,0,M1821710465,0,0,0
139,36,PAYMENT,4696.56,C430844068,308549.46,303852.9,M1202526195,0,0,0
